date,high,open,close,low,amount,vol
20050321,1193.75,-12,1174.25,1172,0.103448276,21.75
20050322,1180.25,0.25,1174.5,1168.75,0.5,11.5
20050323,1184.25,1,1175.5,1174.5,0.102564103,9.75
20050327,1183.5,2,1177.5,1176,0.2,7.5
20050328,1183.25,-7.5,1170,1166.75,0.196969697,16.5
20050329,1185.75,15.5,1185.5,1169,0.985074627,16.75
20050330,1188.25,-1.5,1184,1182,0.32,6.25
20050331,1193.5,-6.25,1177.75,1172.5,0.25,21
20050403,1182,2,1179.75,1170.75,0.8,11.25
20050404,1187,5.5,1185.25,1178.5,0.794117647,8.5
20050405,1193,4,1189.25,1184,0.583333333,9
20050406,1195.75,6,1195.25,1186.25,0.947368421,9.5
20050407,1195.5,-11.75,1183.5,1182.75,0.058823529,12.75
20050410,1187.25,0.25,1183.75,1181.25,0.416666667,6
20050411,1193.25,6.25,1190,1173,0.839506173,20.25
20050412,1190.5,-14,1176,1173.5,0.147058824,17
20050413,1178.5,-15.5,1160.5,1160,0.027027027,18.5
20050414,1164,-17,1143.5,1143,0.023809524,21
20050417,1151.5,3.25,1146.75,1135.75,0.698412698,15.75
20050418,1157,9,1155.75,1146.5,0.880952381,10.5
20050419,1159.75,-16,1139.75,1136.75,0.130434783,23
20050420,1163.75,21.75,1161.5,1137.75,0.913461538,26
20050421,1161.25,-4.25,1157.25,1143.75,0.771428571,17.5
20050424,1166.25,6.75,1164,1155.5,0.790697674,10.75
20050425,1166,-10.25,1153.75,1152.5,0.092592593,13.5
20050426,1161.5,3.5,1157.25,1145.25,0.738461538,16.25
20050427,1158.5,-14.25,1143,1142.5,0.03125,16
20050428,1159.5,15.5,1158.5,1140.25,0.948051948,19.25
20050501,1164.5,5,1163.5,1155.5,0.888888889,9
20050502,1168.75,2.5,1166,1157.25,0.760869565,11.5
20050503,1177.75,9.25,1175.25,1162.75,0.833333333,15
20050504,1180,-0.25,1175,1167.5,0.6,12.5
20050505,1182.25,-3.75,1171.25,1171,0.022222222,11.25
20050508,1180.75,7,1178.25,1170,0.76744186,10.75
20050509,1178.5,-12,1166.25,1163.5,0.183333333,15
20050510,1173.5,6.25,1172.5,1158,0.935483871,15.5
20050511,1175.25,-13.25,1159.25,1158.5,0.044776119,16.75
20050512,1165.5,-2.5,1156.75,1146.75,0.533333333,18.75
20050515,1167.75,10.25,1167,1154.75,0.942307692,13
20050516,1176.25,8.25,1175.25,1160.75,0.935483871,15.5
20050517,1189.5,11.5,1186.75,1172.25,0.84057971,17.25
20050518,1192.75,4.5,1191.25,1185.25,0.8,7.5
20050519,1193,-1,1190.25,1186,0.607142857,7
20050522,1199,6,1196.25,1189.25,0.717948718,9.75
20050523,1196.75,-2.5,1193.75,1190.5,0.52,6.25
20050524,1193.75,-1.25,1192.5,1186.25,0.833333333,7.5
20050525,1200.25,5.5,1198,1191.75,0.735294118,8.5
20050526,1200.5,2.25,1200.25,1196,0.944444444,4.5
20050530,1202,-8,1192.25,1191.5,0.071428571,10.5
20050531,1207,9,1201.25,1191.75,0.62295082,15.25
20050601,1205.75,4,1205.25,1198.5,0.931034483,7.25
20050602,1207,-6.75,1198.5,1194.75,0.306122449,12.25
20050605,1199.5,-0.5,1198,1193,0.769230769,6.5
20050606,1209.75,1,1199,1197.5,0.12244898,12.25
20050607,1203.5,-3,1196,1193.5,0.25,10
20050608,1202.75,5,1201,1191.25,0.847826087,11.5
20050609,1208.75,3,1204,1197.5,0.577777778,11.25
20050612,1212.5,3.5,1207.5,1199.75,0.607843137,12.75
20050613,1213.5,2.5,1210,1205.25,0.575757576,8.25
20050614,1214.25,1.75,1211.75,1203.5,0.76744186,10.75
20050615,1217.75,4,1215.75,1210.25,0.733333333,7.5
20050616,1225.25,4.75,1220.5,1215.25,0.525,10
20050619,1224.5,-0.5,1220,1215.25,0.513513514,9.25
20050620,1222.5,1,1221,1216.25,0.76,6.25
20050621,1225,0,1221,1216,0.555555556,9
20050622,1222.5,-17,1204,1203.75,0.013333333,18.75
20050623,1206.25,-8.25,1195.75,1193.25,0.192307692,13
20050626,1199.25,0.5,1196.25,1192.5,0.555555556,6.75
20050627,1207.25,10.5,1206.75,1195.75,0.956521739,11.5
20050628,1208.75,-3.75,1203,1202,0.148148148,6.75
20050629,1207.75,-7.5,1195.5,1194,0.109090909,13.75
20050630,1202.25,4.5,1200,1195.25,0.678571429,7
20050704,1210.75,9,1209,1195.5,0.885245902,15.25
20050705,1210.75,-10.5,1198.5,1198,0.039215686,12.75
20050706,1203.25,4.25,1202.75,1170.75,0.984615385,32.5
20050707,1217.25,13.75,1216.5,1200.75,0.954545455,16.5
20050710,1224.75,7,1223.5,1215.5,0.864864865,9.25
20050711,1229.75,2,1225.5,1219.75,0.575,10
20050712,1228.5,2.5,1228,1222.75,0.913043478,5.75
20050713,1237.5,3.75,1231.75,1227,0.452380952,10.5
20050714,1233.5,-0.5,1231.25,1226.5,0.678571429,7
20050717,1231.5,-4.75,1226.5,1224,0.333333333,7.5
20050718,1234,6.75,1233.25,1226.5,0.9,7.5
20050719,1240,3.25,1236.5,1225.5,0.75862069,14.5
20050720,1246,-6.5,1230,1227,0.157894737,19
20050721,1238,7,1237,1227.25,0.906976744,10.75
20050724,1241.75,-3,1234,1230.5,0.311111111,11.25
20050725,1237.5,1,1235,1231.5,0.583333333,6
20050726,1240.5,4.75,1239.75,1232.25,0.909090909,8.25
20050727,1248.25,7.25,1247,1238.25,0.875,10
20050728,1248.75,-10.25,1236.75,1236.5,0.020408163,12.25
20050731,1242,0.75,1237.5,1235.75,0.28,6.25
20050801,1247.5,7.5,1245,1237,0.761904762,10.5
20050802,1248.5,2.75,1247.75,1242.25,0.88,6.25
20050803,1248.5,-9.75,1238,1236.5,0.125,12
20050804,1241,-8.25,1229.75,1227.25,0.181818182,13.75
20050807,1234.5,-2.5,1227.25,1224.25,0.292682927,10.25
20050808,1236.25,7,1234.25,1225.5,0.813953488,10.75
20050809,1245.25,-0.5,1233.75,1228.25,0.323529412,17
20050810,1240.5,4.75,1238.5,1230,0.80952381,10.5
20050811,1238.5,-7.5,1231,1227.25,0.333333333,11.25
20050814,1238.5,6.5,1237.5,1227.75,0.906976744,10.75
20050815,1239,-16,1221.5,1220,0.078947368,19
20050816,1227.75,0,1221.5,1218.25,0.342105263,9.5
20050817,1224.75,-0.5,1221,1216.75,0.53125,8
20050818,1227.25,2.75,1223.75,1220,0.517241379,7.25
20050821,1231,0.25,1224,1217.5,0.481481481,13.5
20050822,1225,-2.5,1221.5,1215.5,0.631578947,9.5
20050823,1225.75,-11.5,1210,1209,0.059701493,16.75
20050824,1215,3.5,1213.5,1208.5,0.769230769,6.5
20050825,1215.25,-7.5,1206,1204.75,0.119047619,10.5
20050828,1215.75,8.5,1214.5,1194,0.942528736,21.75
20050829,1215,-6,1208.5,1201.5,0.518518519,13.5
20050830,1224.25,13,1221.5,1204.75,0.858974359,19.5
20050831,1228.75,0.25,1221.75,1216.5,0.428571429,12.25
20050901,1226.25,-2,1219.75,1217.5,0.257142857,8.75
20050905,1235,14.5,1234.25,1219.25,0.952380952,15.75
20050906,1238,1.25,1235.5,1231.25,0.62962963,6.75
20050907,1236.25,-3.5,1232,1229.5,0.37037037,6.75
20050908,1250.25,16.5,1248.5,1237.5,0.862745098,12.75
20050911,1251,-2,1246.5,1245.25,0.217391304,5.75
20050912,1246.75,-7.5,1239,1237.5,0.162162162,9.25
20050913,1242.25,-4.5,1234.5,1232,0.243902439,10.25
20050914,1238.5,-1,1233.5,1230.75,0.35483871,7.75
20050915,1244.75,8.75,1242.25,1232.75,0.791666667,12
20050918,1243,-4.25,1238,1233.25,0.487179487,9.75
20050919,1243,-10.5,1227.5,1225.5,0.114285714,17.5
20050920,1229.5,-11.5,1216,1214.25,0.114754098,15.25
20050921,1222.75,3.75,1219.75,1210.75,0.75,12
20050922,1224.75,0.75,1220.5,1215,0.564102564,9.75
20050925,1229,1,1221.5,1216.75,0.387755102,12.25
20050926,1226,0.25,1221.75,1216,0.575,10
20050927,1227,1,1222.75,1217.5,0.552631579,9.5
20050928,1234.5,9,1231.75,1216.25,0.849315068,18.25
20050929,1236,2.5,1234.25,1230,0.708333333,6
20051002,1239,-2.5,1231.75,1229.75,0.216216216,9.25
20051003,1235.5,-15,1216.75,1216.5,0.013157895,19
20051004,1218.5,-16,1200.75,1200,0.040540541,18.5
20051005,1207,-3.75,1197,1185.75,0.529411765,21.25
20051006,1204.75,3,1200,1195,0.512820513,9.75
20051009,1204.5,-10,1190,1189.5,0.033333333,15
20051010,1198,-1.5,1188.5,1187,0.136363636,11
20051011,1195,-10,1178.5,1177.25,0.070422535,17.75
20051012,1184.5,-0.5,1178,1171.75,0.490196078,12.75
20051013,1191.5,12,1190,1178.5,0.884615385,13
20051016,1195.75,4.25,1194.25,1186.25,0.842105263,9.5
20051017,1196.75,-12.75,1181.5,1180.75,0.046875,16
20051018,1201,19,1200.5,1173.75,0.981651376,27.25
20051019,1201,-21,1179.5,1175.25,0.165048544,25.75
20051020,1190,4.25,1183.75,1175.75,0.561403509,14.25
20051023,1203.25,18.75,1202.5,1183.25,0.9625,20
20051024,1204.75,-3.5,1199,1191.75,0.557692308,13
20051025,1207.25,-3,1196,1193.75,0.166666667,13.5
20051026,1196,-13.5,1182.5,1180.75,0.114754098,15.25
20051027,1201.25,17.25,1199.75,1179.5,0.931034483,21.75
20051030,1214.5,10,1209.75,1199.5,0.683333333,15
20051031,1210.5,-3.5,1206.25,1203,0.433333333,7.5
20051101,1218.5,11.75,1218,1202.5,0.96875,16
20051102,1227.75,5.75,1223.75,1216,0.659574468,11.75
20051103,1225.75,-1.75,1222,1216.5,0.594594595,9.25
20051106,1227,0.75,1222.75,1219.25,0.451612903,7.75
20051107,1224.5,0,1222.75,1218.5,0.708333333,6
20051108,1229.5,1,1223.75,1218.75,0.465116279,10.75
20051109,1235.5,10,1233.75,1217.25,0.904109589,18.25
20051110,1238.75,4.25,1238,1232.5,0.88,6.25
20051113,1240.25,-0.75,1237.25,1234,0.52,6.25
20051114,1241,-4.75,1232.5,1228.5,0.32,12.5
20051115,1235.25,2.25,1234.75,1229.25,0.916666667,6
20051116,1246.25,10.5,1245.25,1233.75,0.92,12.5
20051117,1252.25,5,1250.25,1242.5,0.794871795,9.75
20051120,1258.25,6.75,1257,1248.5,0.871794872,9.75
20051121,1264,5,1262,1253,0.818181818,11
20051122,1273,6.5,1268.5,1260.75,0.632653061,12.25
20051123,1268.5,-1,1267.5,1265.75,0.636363636,2.75
20051124,1270.75,2.5,1270,1266,0.842105263,4.75
20051127,1273,-9,1261,1258.75,0.157894737,14.25
20051128,1268,-1.75,1259.25,1258.75,0.054054054,9.25
20051129,1263,-8.25,1251,1250.5,0.04,12.5
20051130,1268,13.5,1264.5,1251.75,0.784615385,16.25
20051201,1268.25,1.5,1266,1262.5,0.608695652,5.75
20051204,1267,-2.5,1263.5,1259,0.5625,8
20051205,1274.5,2,1265.5,1263,0.217391304,11.5
20051206,1267.25,-7.5,1258,1253.5,0.327272727,13.75
20051207,1264.75,-1.25,1256.75,1251.25,0.407407407,13.5
20051208,1272.5,10.75,1267.5,1262.25,0.512195122,10.25
20051211,1273.75,1.75,1269.25,1263.75,0.55,10
20051212,1281.5,7.75,1277,1267.25,0.684210526,14.25
20051213,1285,5,1282,1273.25,0.744680851,11.75
20051214,1283.75,-4.25,1277.75,1275.5,0.272727273,8.25
20051215,1284.5,-3.5,1274.25,1273.75,0.046511628,10.75
20051218,1279.75,-6.75,1267.5,1266.75,0.057692308,13
20051219,1272,0.5,1268,1264.75,0.448275862,7.25
20051220,1277,2,1270,1266.75,0.317073171,10.25
20051221,1276,5.5,1275.5,1269,0.928571429,7
20051222,1277.75,1,1276.5,1273,0.736842105,4.75
20051226,1281,-12.5,1264,1262.5,0.081081081,18.5
20051227,1268.25,1.25,1265.25,1263,0.428571429,5.25
20051228,1267.75,-5.25,1260,1258.5,0.162162162,9.25
20051229,1261.5,-5.25,1254.75,1251.25,0.341463415,10.25
20060102,1277.5,20,1274.75,1251.5,0.894230769,26
20060103,1282.25,5.75,1280.5,1270.75,0.847826087,11.5
20060104,1283.25,0.75,1281.25,1275.75,0.733333333,7.5
20060105,1293,10.5,1291.75,1280.25,0.901960784,12.75
20060108,1297.5,3.25,1295,1290.25,0.655172414,7.25
20060109,1296.75,1,1296,1289.25,0.9,7.5
20060110,1301,3.75,1299.75,1293.5,0.833333333,7.5
20060111,1299.75,-6.25,1293.5,1290.5,0.324324324,9.25
20060112,1295.75,-0.75,1292.75,1287.75,0.625,8
20060115,1295.25,2,1294.75,1288.75,0.923076923,6.5
20060116,1295.25,-5.25,1289.5,1283.5,0.510638298,11.75
20060117,1287.75,-5.75,1283.75,1275.25,0.68,12.5
20060118,1293,4.5,1288.25,1280.25,0.62745098,12.75
20060119,1289.25,-23.5,1264.75,1264.25,0.02,25
20060122,1272.75,4.5,1269.25,1263.75,0.611111111,9
20060123,1276.25,1.25,1270.5,1267.25,0.361111111,9
20060124,1276,0.5,1271,1262.25,0.636363636,13.75
20060125,1280.75,6.75,1277.75,1269.75,0.727272727,11
20060126,1290.5,11.5,1289.25,1277.25,0.905660377,13.25
20060129,1291.75,-0.75,1288.5,1286.75,0.35,5
20060130,1290.5,-5,1283.5,1278.5,0.416666667,12
20060131,1287.5,3.75,1287.25,1276.25,0.977777778,11.25
20060201,1287.25,-15.25,1272,1270.5,0.089552239,16.75
20060202,1276.5,-6.5,1265.5,1263.5,0.153846154,13
20060205,1270.5,3.25,1268.75,1264,0.730769231,6.5
20060206,1270,-11.25,1257.5,1256,0.107142857,14
20060207,1269.75,10.75,1268.25,1255.75,0.892857143,14
20060208,1277.75,-2.5,1265.75,1265.25,0.04,12.5
20060209,1273,2.5,1268.25,1257,0.703125,16
20060212,1269.25,-2.5,1265.75,1260.5,0.6,8.75
20060213,1281.5,12.5,1278.25,1263,0.824324324,18.5
20060214,1283.75,4,1282.25,1272.75,0.863636364,11
20060215,1292.75,9.5,1291.75,1281,0.914893617,11.75
20060216,1292.25,-2.75,1289,1286,0.48,6.25
20060219,1289.75,-0.25,1288.75,1286.5,0.692307692,3.25
20060220,1294.25,-3.5,1285.25,1283,0.2,11.25
20060221,1296.25,7,1292.25,1283.75,0.68,12.5
